index,name,set,rarity,cardNumber,condition,finish,quantity,marketPrice,priceDelta,priceDeltaPercent,trend,imageUrl,imageAlt
21,Nico Robin (OP15-109) (Alternate Art),Adventure on Kami's Island,R,OP15-109,Near Mint,Foil,1,19.29,-0.39,-1.98,down,https://public.getcollectr.com/public-assets/products/product_685465.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Nico Robin (OP15-109) (Alternate Art) 
22,Borsalino,Adventure on Kami's Island,SR,EB04-058,Near Mint,Foil,1,18.52,1.25,7.24,up,https://public.getcollectr.com/public-assets/products/product_685329.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Borsalino 
23,Baron Nashor,Unleashed,Epic,147/219,Near Mint,Foil,1,18.29,-4.54,-19.89,down,https://public.getcollectr.com/public-assets/products/product_683790.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Baron Nashor 
24,Roronoa Zoro (EB04-007),Adventure on Kami's Island,SR,EB04-007,Near Mint,Foil,1,16.9,-0.16,-0.94,down,https://public.getcollectr.com/public-assets/products/product_685303.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Roronoa Zoro (EB04-007) 
25,Vex - Apathetic,Unleashed,Epic,150/219,Near Mint,Foil,2,14.89,-0.35,-2.3,down,https://public.getcollectr.com/public-assets/products/product_685949.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Vex - Apathetic 
26,Doll (Alternate Art),A Fist of Divine Speed,R,OP11-008,Near Mint,Foil,1,14.67,-2.68,-15.45,down,https://public.getcollectr.com/public-assets/products/product_632365.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Doll (Alternate Art) 
27,Crobat,Chaos Rising,Illustration Rare,093/086,Near Mint,Holofoil,1,14.4,-9.77,-40.42,down,https://public.getcollectr.com/public-assets/products/product_693471.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Crobat 
28,Chespin,Chaos Rising,Illustration Rare,087/086,Near Mint,Holofoil,1,13.8,-21.02,-60.37,down,https://public.getcollectr.com/public-assets/products/product_693462.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Chespin 
29,Trafalgar Law - OP14-009 (Alternate Art),The Azure Sea's Seven,SR,OP14-009,Near Mint,Foil,1,13.57,0.36,2.73,up,https://public.getcollectr.com/public-assets/products/product_668637.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Trafalgar Law - OP14-009 (Alternate Art) 
30,Seal of Focus,Origins,Epic,081/298,Near Mint,Foil,1,12.91,0.16,1.25,up,https://public.getcollectr.com/public-assets/products/product_652861.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Seal of Focus 
31,Beedrill ex,Chaos Rising,Ultra Rare,098/086,Near Mint,Holofoil,1,12.29,-12.7,-50.82,down,https://public.getcollectr.com/public-assets/products/product_693454.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Beedrill ex 
32,Bullet Time,Origins,Epic,268/298,Near Mint,Foil,1,11.76,-3,-20.33,down,https://public.getcollectr.com/public-assets/products/product_653066.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Bullet Time 
33,Rift Herald,Unleashed,Epic,179/219,Near Mint,Foil,1,9.99,2.66,36.29,up,https://public.getcollectr.com/public-assets/products/product_684546.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rift Herald 
34,Rosa's Encouragement - 114/088,Perfect Order,Ultra Rare,114/088,Near Mint,Holofoil,1,9.04,0.25,2.84,up,https://public.getcollectr.com/public-assets/products/product_684391.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rosa's Encouragement - 114/088 
35,Chaos Rune (Alternate Art),Spiritforged,Showcase,R05a,Near Mint,Foil,2,8.88,1.37,18.24,up,https://public.getcollectr.com/public-assets/products/product_678232.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Chaos Rune (Alternate Art) 
36,Sabotage,Origins,Rare,156/298,Near Mint,Foil,3,8.64,1.76,25.58,up,https://public.getcollectr.com/public-assets/products/product_652941.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sabotage 
37,Sliggoo,Chaos Rising,Illustration Rare,095/086,Near Mint,Holofoil,1,8.5,-11.47,-57.44,down,https://public.getcollectr.com/public-assets/products/product_693546.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sliggoo 
38,Mind Rune (Alternate Art),Unleashed,Showcase,R03a,Near Mint,Foil,2,8.17,-2.85,-25.86,down,https://public.getcollectr.com/public-assets/products/product_692934.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mind Rune (Alternate Art) 
39,Downwell,Spiritforged,Epic,147/221,Near Mint,Foil,1,8.15,2.33,40.03,up,https://public.getcollectr.com/public-assets/products/product_666477.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Downwell 
40,Irelia - Fervent,Spiritforged,Epic,057/221,Near Mint,Foil,1,8.11,2.04,33.61,up,https://public.getcollectr.com/public-assets/products/product_664885.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Irelia - Fervent 
41,LeBlanc - Everywhere At Once (Alternate Art),Unleashed,Showcase,090a/219,Near Mint,Foil,1,8.06,-1.72,-17.59,down,https://public.getcollectr.com/public-assets/products/product_684597.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,LeBlanc - Everywhere At Once (Alternate Art) 
42,Chaos Rune (Alternate Art),Origins,Showcase,166a/298,Near Mint,Foil,1,7.95,1.43,21.93,up,https://public.getcollectr.com/public-assets/products/product_652955.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Chaos Rune (Alternate Art) 
43,Claydol,Chaos Rising,Illustration Rare,092/086,Near Mint,Holofoil,1,7.87,-22.12,-73.76,down,https://public.getcollectr.com/public-assets/products/product_693467.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Claydol 
44,Gecko Moria - OP14-104,The Azure Sea's Seven,SR,OP14-104,Near Mint,Foil,1,7.77,0.16,2.1,up,https://public.getcollectr.com/public-assets/products/product_666574.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Gecko Moria - OP14-104 
45,DON!! Card (Luffy) (Gold),Adventure on Kami's Island,,,Near Mint,Foil,1,7.74,-0.66,-7.86,down,https://public.getcollectr.com/public-assets/products/product_686651.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,DON!! Card (Luffy) (Gold) 
46,Cinccino ex,Chaos Rising,Ultra Rare,105/086,Near Mint,Holofoil,1,7.63,-7.37,-49.13,down,https://public.getcollectr.com/public-assets/products/product_693464.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Cinccino ex 
47,Stacked Deck,Riftbound Organized Play Promotional Cards,Uncommon,183/298,Near Mint,Foil,1,7.47,0.67,9.85,up,https://public.getcollectr.com/public-assets/products/product_662906.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Stacked Deck 
48,Body Rune (Alternate Art),Unleashed,Showcase,R04a,Near Mint,Foil,3,7.46,-0.99,-11.72,down,https://public.getcollectr.com/public-assets/products/product_692935.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Body Rune (Alternate Art) 
49,Zhonya's Hourglass,Origins,Rare,077/298,Near Mint,Foil,1,7.31,0.27,3.84,up,https://public.getcollectr.com/public-assets/products/product_652855.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Zhonya's Hourglass 
50,Pyke - Dockside Butcher (Alternate Art),Unleashed,Showcase,028a/219,Near Mint,Foil,1,7.18,-0.61,-7.83,down,https://public.getcollectr.com/public-assets/products/product_685004.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Pyke - Dockside Butcher (Alternate Art) 
51,Rowlet,Perfect Order,Illustration Rare,090/088,Near Mint,Holofoil,1,6.96,0.05,0.72,up,https://public.getcollectr.com/public-assets/products/product_684368.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rowlet 
52,Boa Hancock - OP14-112,The Azure Sea's Seven,SR,OP14-112,Near Mint,Foil,1,6.54,0.01,0.15,up,https://public.getcollectr.com/public-assets/products/product_668342.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Boa Hancock - OP14-112 
53,Stacked Deck,Origins,Uncommon,183/298,Near Mint,Normal,2,6.43,0.91,16.49,up,https://public.getcollectr.com/public-assets/products/product_652972.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Stacked Deck 
54,Rek'Sai - Breacher,Spiritforged,Epic,029/221,Near Mint,Foil,1,6.13,-0.29,-4.52,down,https://public.getcollectr.com/public-assets/products/product_666493.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rek'Sai - Breacher 
55,LeBlanc - Fragmented (Alternate Art),Unleashed,Showcase,172a/219,Near Mint,Foil,1,5.85,-2.41,-29.18,down,https://public.getcollectr.com/public-assets/products/product_685569.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,LeBlanc - Fragmented (Alternate Art) 
56,Uta (061),Extra Booster: One Piece Heroine's Edition,SEC,EB03-061,Near Mint,Foil,1,5.46,0.61,12.58,up,https://public.getcollectr.com/public-assets/products/product_672815.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Uta (061) 
57,Vinsmoke Yonji (OP06-067) (Alternate Art),Premium Booster,R,OP06-067,Near Mint,Foil,1,5.3,0.02,0.38,up,https://public.getcollectr.com/public-assets/products/product_587236.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Vinsmoke Yonji (OP06-067) (Alternate Art) 
58,Body Rune (Alternate Art),Origins,Showcase,126a/298,Near Mint,Foil,1,4.89,0.04,0.82,up,https://public.getcollectr.com/public-assets/products/product_652910.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Body Rune (Alternate Art) 
59,Jhin - Murderous Artist (Alternate Art),Unleashed,Showcase,022a/219,Near Mint,Foil,1,4.83,1.56,47.71,up,https://public.getcollectr.com/public-assets/products/product_684490.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jhin - Murderous Artist (Alternate Art) 
60,Monet (Parallel),Royal Blood,SR,OP10-016,Near Mint,Foil,1,4.79,0.09,1.91,up,https://public.getcollectr.com/public-assets/products/product_617050.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Monet (Parallel) 
61,Meowth ex,Perfect Order,Double Rare,062/088,Near Mint,Holofoil,1,4.69,-0.09,-1.88,down,https://public.getcollectr.com/public-assets/products/product_684340.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Meowth ex 
62,Clamperl,Destined Rivals,Illustration Rare,195/182,Near Mint,Holofoil,1,4.67,-0.29,-5.85,down,https://public.getcollectr.com/public-assets/products/product_632995.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Clamperl 
63,Hina (Alternate Art),Extra Booster: One Piece Heroine's Edition,R,EB03-025,Near Mint,Foil,1,4.6,0.36,8.49,up,https://public.getcollectr.com/public-assets/products/product_672770.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Hina (Alternate Art) 
64,Fennekin,Ninja Spinner,Art Rare,085/083,Near Mint,Holofoil,1,4.56,0.14,3.17,up,https://public.getcollectr.com/public-assets/products/product_683736.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Fennekin 
65,Fury Rune (Alternate Art),Spiritforged,Showcase,R01a,Near Mint,Foil,1,4.34,-0.2,-4.41,down,https://public.getcollectr.com/public-assets/products/product_678224.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Fury Rune (Alternate Art) 
66,Mamaragan,Adventure on Kami's Island,SR,OP15-078,Near Mint,Foil,2,4.3,0.54,14.36,up,https://public.getcollectr.com/public-assets/products/product_685429.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mamaragan 
67,Mindsplitter,Origins,Rare,192/298,Near Mint,Foil,1,4.17,0.2,5.04,up,https://public.getcollectr.com/public-assets/products/product_652981.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mindsplitter 
68,Tyrunt - 070,Mega Evolution Promos,Promo,070,Near Mint,Holofoil,1,4.13,-0.45,-9.83,down,https://public.getcollectr.com/public-assets/products/product_685562.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Tyrunt - 070 
69,Miss Fortune - Captain,Origins,Epic,162/298,Near Mint,Foil,1,4.12,-1.55,-27.34,down,https://public.getcollectr.com/public-assets/products/product_652948.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Miss Fortune - Captain 
70,Fiora - Worthy (Alternate Art),Spiritforged,Showcase,180a/221,Near Mint,Foil,1,4.08,0.12,3.03,up,https://public.getcollectr.com/public-assets/products/product_665034.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Fiora - Worthy (Alternate Art) 
71,Fizz - Trickster,Spiritforged,Rare,140/221,Near Mint,Foil,1,4.03,1.95,93.75,up,https://public.getcollectr.com/public-assets/products/product_666489.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Fizz - Trickster 
72,Nami,Romance Dawn,R,OP01-016,Near Mint,Normal,1,3.83,0,0,flat,https://public.getcollectr.com/public-assets/products/product_454534.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Nami 
73,Jinx - Rebel (Alternate Art),Origins,Showcase,202a/298,Near Mint,Foil,1,3.71,-0.39,-9.51,down,https://public.getcollectr.com/public-assets/products/product_652994.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jinx - Rebel (Alternate Art) 
74,Rebecca (OP15-053),Adventure on Kami's Island,SR,OP15-053,Near Mint,Foil,1,3.65,0.44,13.71,up,https://public.getcollectr.com/public-assets/products/product_685399.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rebecca (OP15-053) 
75,Yasuo - Remorseful (Alternate Art),Origins,Showcase,076a/298,Near Mint,Foil,1,3.47,-0.36,-9.4,down,https://public.getcollectr.com/public-assets/products/product_652854.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Yasuo - Remorseful (Alternate Art) 
76,Tideturner,Origins,Rare,199/298,Near Mint,Foil,2,3.42,0.05,1.48,up,https://public.getcollectr.com/public-assets/products/product_652990.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Tideturner 
77,Lilting Lullaby,Unleashed,Epic,190/219,Near Mint,Foil,3,3.42,-1.51,-30.63,down,https://public.getcollectr.com/public-assets/products/product_684203.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lilting Lullaby 
78,Void Assault,Unleashed,Epic,202/219,Near Mint,Foil,1,3.37,-1.04,-23.58,down,https://public.getcollectr.com/public-assets/products/product_685600.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Void Assault 
79,Red Brambleback (Alternate Art),Unleashed,Showcase,029a/219,Near Mint,Foil,1,3.12,0.65,26.32,up,https://public.getcollectr.com/public-assets/products/product_685588.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Red Brambleback (Alternate Art) 
80,Franky (JP),Romance Dawn,UC,OP01-021,Near Mint,Normal,1,2.8,0,0,flat,https://public.getcollectr.com/public-assets/products/product_10014291.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Franky (JP)
81,Jhin - Meticulous Killer,Unleashed,Epic,089/219,Near Mint,Foil,1,2.75,-0.22,-7.41,down,https://public.getcollectr.com/public-assets/products/product_684481.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jhin - Meticulous Killer 
82,Alpha Strike,Unleashed,Epic,192/219,Near Mint,Foil,1,2.56,-0.24,-8.57,down,https://public.getcollectr.com/public-assets/products/product_684485.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Alpha Strike 
83,Blue Sentinel,Unleashed,Epic,087/219,Near Mint,Foil,1,2.37,0.04,1.72,up,https://public.getcollectr.com/public-assets/products/product_684592.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Blue Sentinel 
84,Diana - No Longer Human,Unleashed,Epic,149/219,Near Mint,Foil,1,2.34,-1.33,-36.24,down,https://public.getcollectr.com/public-assets/products/product_684495.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Diana - No Longer Human 
85,Silvers Rayleigh (JP),Emperors in the New World,R,OP09-005,Near Mint,Foil,1,2.3,0,0,flat,https://public.getcollectr.com/public-assets/products/product_10018338.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Silvers Rayleigh (JP)
86,Sabo (JP),PRB02 - One Piece Card the Best Vol. 2,UC,OP09-027,Near Mint,Normal,1,2.3,0,0,flat,https://public.getcollectr.com/public-assets/products/product_10029593.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sabo (JP)
87,Rumble - Scrapper (Alternate Art),Spiritforged,Showcase,089a/221,Near Mint,Foil,1,2.23,-0.06,-2.62,down,https://public.getcollectr.com/public-assets/products/product_666590.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rumble - Scrapper (Alternate Art) 
88,Jinx - Demolitionist (Alternate Art),Origins,Showcase,030a/298,Near Mint,Foil,1,2.23,-0.5,-18.32,down,https://public.getcollectr.com/public-assets/products/product_652803.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jinx - Demolitionist (Alternate Art) 
89,Azir - Sovereign,Spiritforged,Epic,177/221,Near Mint,Foil,1,2.2,-0.14,-5.98,down,https://public.getcollectr.com/public-assets/products/product_666473.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Azir - Sovereign 
90,Death from Below,Unleashed,Epic,186/219,Near Mint,Foil,3,2.16,-0.75,-25.77,down,https://public.getcollectr.com/public-assets/products/product_685675.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Death from Below 
91,Possession,Origins,Epic,203/298,Near Mint,Foil,1,2.08,-0.44,-17.46,down,https://public.getcollectr.com/public-assets/products/product_652995.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Possession 
92,Brynhir Thundersong,Origins,Rare,026/298,Near Mint,Foil,1,1.99,-0.68,-25.47,down,https://public.getcollectr.com/public-assets/products/product_652797.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Brynhir Thundersong 
93,Riposte,Spiritforged,Epic,206/221,Near Mint,Foil,2,1.91,-0.03,-1.55,down,https://public.getcollectr.com/public-assets/products/product_666828.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Riposte 
94,Alpha Wildclaw,Unleashed,Epic,057/219,Near Mint,Foil,2,1.88,0.39,26.17,up,https://public.getcollectr.com/public-assets/products/product_685945.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Alpha Wildclaw 
95,Divine Departure,Carrying On His Will,R,OP13-076,Near Mint,Foil,1,1.83,0.02,1.11,up,https://public.getcollectr.com/public-assets/products/product_657340.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Divine Departure 
96,Viktor - Innovator (Alternate Art),Origins,Showcase,117a/298,Near Mint,Foil,1,1.79,-1.25,-41.12,down,https://public.getcollectr.com/public-assets/products/product_653230.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Viktor - Innovator (Alternate Art) 
97,Monkey.D.Luffy (OP15-092),Adventure on Kami's Island,R,OP15-092,Near Mint,Foil,1,1.77,0.02,1.14,up,https://public.getcollectr.com/public-assets/products/product_685445.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Monkey.D.Luffy (OP15-092) 
98,Void Rush,Spiritforged,Epic,188/221,Near Mint,Foil,1,1.73,-0.15,-7.98,down,https://public.getcollectr.com/public-assets/products/product_664923.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Void Rush 
99,Spinning Axe,Spiritforged,Epic,186/221,Near Mint,Foil,1,1.56,-0.46,-22.77,down,https://public.getcollectr.com/public-assets/products/product_663431.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Spinning Axe 
100,The Zero Drive,Spiritforged,Epic,090/221,Near Mint,Foil,1,1.55,-0.1,-6.06,down,https://public.getcollectr.com/public-assets/products/product_666592.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,The Zero Drive 
101,Nocturne - Horrifying,Origins,Rare,194/298,Near Mint,Foil,1,1.41,0.5,54.95,up,https://public.getcollectr.com/public-assets/products/product_652984.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Nocturne - Horrifying 
102,Dunebreaker,Spiritforged,Epic,027/221,Near Mint,Foil,2,1.37,-0.02,-1.44,down,https://public.getcollectr.com/public-assets/products/product_666368.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Dunebreaker 
103,Brook (OP15-032),Adventure on Kami's Island,SR,OP15-032,Near Mint,Foil,2,1.36,-0.17,-11.11,down,https://public.getcollectr.com/public-assets/products/product_685374.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Brook (OP15-032) 
104,Ornn - Blacksmith (Alternate Art),Spiritforged,Showcase,058a/221,Near Mint,Foil,1,1.27,0.13,11.4,up,https://public.getcollectr.com/public-assets/products/product_666415.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ornn - Blacksmith (Alternate Art) 
105,Mega Gallade ex,Chaos Rising,Double Rare,048/086,Near Mint,Holofoil,1,1.24,-13.76,-91.73,down,https://public.getcollectr.com/public-assets/products/product_693514.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mega Gallade ex 
106,Mega Pyroar ex,Chaos Rising,Double Rare,015/086,Near Mint,Holofoil,2,1.18,-8.81,-88.19,down,https://public.getcollectr.com/public-assets/products/product_693519.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mega Pyroar ex 
107,Guardian Angel,Spiritforged,Rare,051/221,Near Mint,Foil,1,1.17,0.17,17,up,https://public.getcollectr.com/public-assets/products/product_663435.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Guardian Angel 
108,Viola,Adventure on Kami's Island,R,OP15-040,Near Mint,Foil,1,1.15,-0.01,-0.86,down,https://public.getcollectr.com/public-assets/products/product_685384.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Viola 
109,Curtain Call,Unleashed,Epic,182/219,Near Mint,Foil,2,1.13,-0.42,-27.1,down,https://public.getcollectr.com/public-assets/products/product_684477.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Curtain Call 
